이름,카테고리,날짜,담당자,사진,인스타 글,인스타 릴스,자료/영상 마감,자료/영상 발송,자료신청서 폼,참조,카페 글,파일과 미디어
행복한바오밥,<공구>,2023년 11월 15일 → 2023년 11월 18일,김채원,No,,No,,,,,진행 중,
"수배열판, 수모형, 퀴즈네르 etc",<공구>,2023년 11월 9일 → 2023년 11월 12일,최은주,No,,No,,,,,진행 중,
"소마셈, 팩토, 팩토슐레",<공구>,2023년 11월 21일,최은주,No,시작 전,No,,,,,시작 전,
만칼라,<공구>,2023년 11월 23일,김채원,No,,No,,,,,시작 전,
토도수학,<공구>,2023년 11월 27일 → 2023년 12월 2일,김다미,No,,No,,,,,,
"EDX : 곱셈교구(신상), 르켄렉",<공구>,2023년 11월 28일,이정원,No,,No,,,,,시작 전,
<라방> 행복한바오밥,<라방>,2023년 11월 17일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
홈페이지 관련 의견교환,<회의>,2023년 11월 15일,최은주,No,,No,,,,,,
일프로연산,<공구>,2024년 1월 25일,김다미,No,,No,,,,,,
가베가족 분수교구,<공구>,2024년 1월 2일,김채원,No,,No,,,,,,
칸칸이정리함 탄탄이정리함,<공구>,2023년 12월 21일,최은주,No,,No,,,,,,
수배열판 특강," <모집>",2023년 11월 14일 → 2023년 11월 20일,최은주,No,진행 중,No,2023년 12월 15일,2023년 11월 24일,,,완료,
2024학년도 수능!!!!!!,,2023년 11월 16일,,No,,No,,,,,,
김다미,<휴가>,2023년 11월 23일 → 2023년 11월 24일,김다미,No,,No,,,,,,
초등사고력1단계 10기 (1/6),<플젝>,2023년 11월 16일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
<회의>모니즈 2차 회의,<회의>,2023년 11월 17일,김다미,No,,No,,,,,,
김채원,<휴가>,2023년 11월 30일 → 2023년 12월 1일,임정식,No,,No,,,,,,
매뉴얼,,2024년 5월 2일,,No,,No,,,,,,
유아기본 (6/6),<플젝>,2023년 11월 14일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력1단계 10기 (6/6),<플젝>,2024년 1월 4일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력1단계 10기 (2/6),<플젝>,2023년 11월 23일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력2단계 6기 (6/6),<플젝>,2024년 2월 6일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력1단계 10기 (4/6),<플젝>,2023년 12월 14일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력1단계 10기 (5/6),<플젝>,2023년 12월 28일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력1단계 10기 (3/6),<플젝>,2023년 12월 7일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력2단계 6기 (1/6),<플젝>,2023년 12월 19일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력2단계 6기 (2/6),<플젝>,2023년 12월 26일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력2단계 6기 (3/6),<플젝>,2024년 1월 9일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력2단계 6기 (4/6),<플젝>,2024년 1월 16일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력2단계 6기 (5/6),<플젝>,2024년 1월 30일 오후 10:30 (GMT+9),최경희,No,,No,,,,,,
초등사고력 3단계 모집," <모집>",2024년 1월 3일 → 2024년 1월 8일,최은주,No,,No,,,,,,
매직큐브,<공구>,2023년 12월 4일 → 2023년 12월 10일,김다미,No,,Yes,,,https://forms.gle/wZgvHvt148Mt7HDU6,,,
보약 보드게임,<공구>,2023년 12월 12일 → 2023년 12월 18일,김채원,Yes,,No,,,,,진행 중,
"edx 리플렉션, 도형 2d 3d 전개도",<공구>,2023년 12월 14일,김다미,Yes,완료,No,,,,,완료,
w.변호사님,<미팅>,2023년 11월 21일 오전 11:00 (GMT+9),"강성희, 임정식, 최경희",No,,No,,,,,,
보드게임_행복한바오밥,<라방>,2023년 11월 17일,"김채원, 최경희",No,,No,,,,,,
가베가족 영유아교구,<공구>,2023년 12월 19일,김채원,No,,No,,,,,,
비상 문제집,<공구>,2023년 12월 20일,이정원,No,,No,,,,,,
지원사업,<미팅>,2023년 11월 24일 오전 11:00 (GMT+9),"최경희, 강성희",No,,No,,,,,,
장종원 실장님,<미팅>,2023년 11월 20일,"강성희, 한경민, 김다미",No,,No,,,,,,
초등사고력2단계 모집," <모집>",2023년 12월 5일 → 2023년 12월 11일,,No,,No,,,,,,
"리안의수학모험 (신간, 19권 분수와소수)",<공구>,2024년 1월 4일,이정원,No,,No,,,,,,
